Mag Ratio,Canvas Size,Contrast Threshold,Adjust Contrast,Home Detections,Home Confidence,Away Detections,Away Confidence
2,2048,0.1,0.9,80,0.8576885479799088,0,0.9822046200130237
2,2048,0.2,0.5,80,0.8576885479799088,0,0.9822046200130237
2,2048,0.2,0.7,80,0.8576885479799088,0,0.9822046200130237
2,2048,0.2,0.9,80,0.8530003204280634,0,0.979879007194316
2,2048,0.3,0.5,80,0.8576885479799088,0,0.9822046200130237
2,2048,0.3,0.7,80,0.8576885479799088,0,0.9822046200130237
2,2048,0.3,0.9,80,0.8434971596042989,0,0.9787742092255408
2,4096,0.1,0.5,80,0.8576885479799088,0,0.9822046200130237
2,4096,0.1,0.7,80,0.8576885479799088,0,0.9822046200130237
2,4096,0.1,0.9,80,0.8576885479799088,0,0.9822046200130237
2,4096,0.2,0.5,80,0.8576885479799088,0,0.9822046200130237
2,4096,0.2,0.7,80,0.8576885479799088,0,0.9822046200130237
2,4096,0.2,0.9,80,0.8530003204280634,0,0.979879007194316
2,4096,0.3,0.5,80,0.8576885479799088,0,0.9822046200130237
2,4096,0.3,0.7,80,0.8576885479799088,0,0.9822046200130237
2,4096,0.3,0.9,80,0.8434971596042989,0,0.9787742092255408
3,1024,0.1,0.5,0,0.8527504087198509,0,0.9505316809643996
3,1024,0.1,0.7,0,0.8694904013623949,0,0.9494226303616367
3,1024,0.1,0.9,0,0.866396897762237,0,0.9477294333987084
3,1024,0.2,0.5,0,0.8527504087198509,0,0.9505316809643996
3,1024,0.2,0.7,0,0.8744255659779868,0,0.9470153250830814
3,1024,0.2,0.9,0,0.8686742723325042,0,0.9453820929774008
3,1024,0.3,0.5,0,0.8527504087198509,0,0.9505316809643996
3,1024,0.3,0.7,0,0.8851854940791876,0,0.9459603992590063
3,1024,0.3,0.9,0,0.8797509786207901,0,0.9436051450945377
3,2048,0.1,0.5,0,0.8527504087198509,0,0.9505316809643996
3,2048,0.1,0.7,0,0.8694904013623949,0,0.9494226303616367
3,2048,0.1,0.9,0,0.866396897762237,0,0.9477294333987084
3,2048,0.2,0.5,0,0.8527504087198509,0,0.9505316809643996
3,2048,0.2,0.7,0,0.8744255659779868,0,0.9470153250830814
3,2048,0.2,0.9,0,0.8686742723325042,0,0.9453820929774008
3,2048,0.3,0.5,0,0.8527504087198509,0,0.9505316809643996
3,2048,0.3,0.7,0,0.8851854940791876,0,0.9459603992590063
3,2048,0.3,0.9,0,0.8797509786207901,0,0.9436051450945377
3,4096,0.1,0.5,0,0.8527504087198509,0,0.9505316809643996
3,4096,0.1,0.7,0,0.8694904013623949,0,0.9494226303616367
3,4096,0.1,0.9,0,0.866396897762237,0,0.9477294333987084
3,4096,0.2,0.5,0,0.8527504087198509,0,0.9505316809643996
3,4096,0.2,0.7,0,0.8744255659779868,0,0.9470153250830814
3,4096,0.2,0.9,0,0.8686742723325042,0,0.9453820929774008
3,4096,0.3,0.5,0,0.8527504087198509,0,0.9505316809643996
3,4096,0.3,0.7,0,0.8851854940791876,0,0.9459603992590063
3,4096,0.3,0.9,0,0.8797509786207901,0,0.9436051450945377
4,1024,0.1,0.5,0,0.866674900535384,0,0.8439081497369557
4,1024,0.1,0.7,0,0.8598097561347341,0,0.8592837005085123
4,1024,0.1,0.9,0,0.8589582089081472,0,0.8524494706684733
4,1024,0.2,0.5,0,0.866674900535384,0,0.8439081497369557
